kod;rodzina;kodbarwy;ilosc;psu;ppsu;sterowanie;klasa;kolor;IP;IK;vin;hz;vs;zmienne;p;flux;wyd;pled;fluxled;wydled;cri;cct;barwa;masa;montaz;temperatury;dyfuzor;wymiary;dopisek;foto;rys;rozsyl;uwagi
xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
GL-TUNEL-L-150WJ08D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Batwing  08;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WP02T-740;TUNEL-L;740;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 2;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WP02D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 2;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WP03T-740;TUNEL-L;740;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 3;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WP03D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 3;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WP05T-740;TUNEL-L;740;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  05;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WP05D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  05;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WP07T-740;TUNEL-L;740;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny  07;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WP07D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny  07;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WP08T-740;TUNEL-L;740;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  08;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WP08D-740;TUNEL-L;740;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  08;;;>70;4000;Neutralna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WJ02T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny 2;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WJ02D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny 2;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WJ03T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny 3;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WJ03D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny 3;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WJ05T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Batwing  05;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WJ05D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Batwing  05;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WJ07T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny  07;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WJ07D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny  07;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WJ08T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Batwing  08;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WJ08D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Batwing  08;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WP02T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 2;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WP02D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 2;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
GL-TUNEL-L-150WP03T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 3;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WP03D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny 3;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_03;
GL-TUNEL-L-150WP05T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  05;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WP05D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  05;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_05;
GL-TUNEL-L-150WP07T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny  07;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WP07D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Asymetryczny  07;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_07;
GL-TUNEL-L-150WP08T-730;TUNEL-L;730;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  08;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WP08D-730;TUNEL-L;730;;Nie;;DALI;;Szary;IP66;IK08;;50/60;;Tak;150;22500;150;Batwing  08;;;>70;3000;Ciepła biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_batw_08;
GL-TUNEL-L-150WJ02T-750;TUNEL-L;750;;Nie;;Brak;;Szary;IP66;IK08;;50/60;;Nie;150;22500;150;Asymetryczny 2;;;>70;5000;Zimna biała;7.3±0.3kg;Sufitowy, regulowany-sufitowy, hakowy;-30°C to + 50°C;Szkło hartowane + soczewka PC;1033x210x62mm;;TUNEL-L_FOTO_A;;tunel_L_Asym_02;
